planet_name,aliases,period_days,period_err_days,t0_bjd_tdb,t0_err_days,duration_hours,duration_err_hours,depth_ppt,depth_err_ppt,rp_rs,rp_rs_err,model_depth_ppt,a_rs,a_rs_err,inclination_deg,inclination_err_deg,ecc,ecc_err,omega_deg,omega_err_deg,stellar_teff_k,stellar_teff_err_k,stellar_logg,stellar_logg_err,stellar_feh,stellar_feh_err,ra_deg,dec_deg,time_reference,source,notes
"Kepler-397 b",Kepler397b;Kepler397,22.250949,0.000186,2454982.43067,0.00524,1.689,0.283,0.6187,0.064,0.02385,0.0016029999999999998,0.5688225,44,18,89.33,,0,,,,5307,100,4.572,0.15,-0.24,0.118,295.8940373,42.3805156,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-397 c",Kepler397c;Kepler397,135.498527,0.000668,2455066.69038,0.00246,6.901,0.223,5.0381,0.0772,0.072673,0.001926,5.281364929,109,10,89.58,,0,,,,5307,100,4.572,0.15,-0.24,0.118,295.8940373,42.3805156,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-398 b",Kepler398b;Kepler398,4.081423,1.1E-05,2454966.85795,0.00176,2.287,0.047,0.1633,0.0045,0.013541,0.0014085,0.183358681,6.93,3.3,82.74,,0,,,,4493,100,4.689,0.15,0.0528,0.0146,291.4688524,40.3437001,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-398 c",Kepler398c;Kepler398,11.419412,4.7E-05,2454975.11768,0.00271,3.342,0.085,0.1537,0.005999999999999999,0.013604,0.0012014999999999999,0.185068816,11.6,4.7,85.38,,0,,,,4493,100,4.689,0.15,0.0528,0.0146,291.4688524,40.3437001,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-398 d",Kepler398d;Kepler398,6.83437001,1.518E-05,2454969.86347,0.0018,2.1537,0.0534,0.1726,0.0058,0.011744,0.0004155,0.13792153599999996,11.99,5.6,85.83,,0,,,,4557,46.765,4.64,0.009999999999999998,-0.06,0.097,291.4688524,40.3437001,JD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-399 b",Kepler399b;Kepler399,14.425281,0.000144,2454969.75198,0.00606,3.686,0.178,0.21889999999999998,0.0158,0.013543,0.000631,0.183412849,29.75,1.3,89.98,,0,,,,5502,200,4.62,0.3,0.14,0.125,299.5017242,40.6707669,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-399 c",Kepler399c;Kepler399,26.67569,0.000171,2454982.99908,0.0043,2.758,0.157,0.4748,0.0264,0.021159,0.0008964999999999999,0.44770328100000006,24.5,9.1,89.26,,0,,,,5502,200,4.62,0.3,0.14,0.125,299.5017242,40.6707669,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-399 d",Kepler399d;Kepler399,58.034616,0.000363,2454971.73323,0.00419,5.435,0.137,0.8071,0.0242,0.026282,0.000639,0.690743524,81.4,4.8,89.98,,0,,,,5502,200,4.62,0.3,0.14,0.125,299.5017242,40.6707669,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-4 b",Kepler4b;Kepler4,3.21346,0.00022,2454956.6127,0.0015,3.98235,0.00911,0.8699999999999999,0.015066999999999999,0.0247,0.000305,0.61009,6.47,0.27,89.76,1.145,0,,,,5857,120,4.17,0.04,0.17,0.06,285.6154492,50.1357712,HJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
"Kepler-40 b",Kepler40b;Kepler40,6.87349,0.00064,2455005.5198,0.0024,6.86,0.06,3.7538,0.008400000000000001,0.0565,0.0004,3.19225,8.11,0.06,89.7,0.2,0,,,,6510,100,3.94,0.32,0.1,0.125,296.8136883,47.5265446,BJD,"NASA Exoplanet Archive PSCompPars TAP export","Generated 2026-06-09 19:59:12 UTC with tools/build_exoplanet_catalog_from_nasa.py; pl_trandep converted from percent to ppt; model_depth_ppt uses Rp/Rs^2 when Rp/Rs is available."
